place_iri,place_label,target_authority,target_iri,target_browse_url,judgment,notes
urn:voices:place:allach-germany,Allach Germany,geonames,https://sws.geonames.org/2958474/,https://www.geonames.org/2958474,unsure,no Wikidata data for this target
urn:voices:place:andresy-france,Andresy France,geonames,https://sws.geonames.org/8296688/,https://www.geonames.org/8296688,unsure,no Wikidata data for this target
urn:voices:place:arad-romania,Arad Romania,geonames,https://sws.geonames.org/686254/,https://www.geonames.org/686254,correct,country match (label=Arad)
urn:voices:place:asch-germany-generic,Asch Germany Generic,geonames,https://sws.geonames.org/2955287/,https://www.geonames.org/2955287,correct,country match (label=Asch)
urn:voices:place:aspen-colorado-usa,Aspen Colorado Usa,geonames,https://sws.geonames.org/5412230/,https://www.geonames.org/5412230,correct,country match (label=Aspen)
urn:voices:place:axvall-sweden,Axvall Sweden,geonames,https://sws.geonames.org/2724134/,https://www.geonames.org/2724134,correct,country match (label=Axvall)
urn:voices:place:bagnoli-italy-dp-camp,Bagnoli Italy Dp Camp,geonames,https://sws.geonames.org/3182518/,https://www.geonames.org/3182518,correct,country match (label=Bagnoli)
urn:voices:place:baiersdorf-bavaria-germany-generic,Baiersdorf Bavaria Germany Generic,geonames,https://sws.geonames.org/2953194/,https://www.geonames.org/2953194,correct,country match (label=Baiersdorf)
urn:voices:place:baltic-sea,Baltic Sea,geonames,https://sws.geonames.org/2633321/,https://www.geonames.org/2633321,unsure,unknown country token in slug (None)
urn:voices:place:barletta-italy,Barletta Italy,geonames,https://sws.geonames.org/3182340/,https://www.geonames.org/3182340,correct,country match (label=Q49280487)
urn:voices:place:batavia-illinois-usa,Batavia Illinois Usa,geonames,https://sws.geonames.org/4884192/,https://www.geonames.org/4884192,correct,country match (label=Batavia)
urn:voices:place:be-er-sheva-israel,Be Er Sheva Israel,geonames,https://sws.geonames.org/12046836/,https://www.geonames.org/12046836,unsure,no Wikidata data for this target
urn:voices:place:bensheim-germany,Bensheim Germany,geonames,https://sws.geonames.org/2950978/,https://www.geonames.org/2950978,unsure,no Wikidata data for this target
urn:voices:place:berga-elster-germany-concentration-camp,Berga Elster Germany Concentration Camp,geonames,https://sws.geonames.org/7602425/,https://www.geonames.org/7602425,correct,country match (label=Berga)
urn:voices:place:black-forest-mountain-range,Black Forest Mountain Range,geonames,https://sws.geonames.org/5457850/,https://www.geonames.org/5457850,unsure,unknown country token in slug (None)
urn:voices:place:boleslawiec-poland,Boleslawiec Poland,geonames,https://sws.geonames.org/3102987/,https://www.geonames.org/3102987,correct,country match (label=Bolesławiec)
urn:voices:place:bontebok-netherlands,Bontebok Netherlands,geonames,https://sws.geonames.org/2758651/,https://www.geonames.org/2758651,correct,country match (label=Bontebok)
urn:voices:place:brownsville-usa-generic,Brownsville Usa Generic,geonames,https://sws.geonames.org/4676740/,https://www.geonames.org/4676740,correct,country match (label=Brownsville)
