place_iri,place_label,target_authority,target_iri,target_browse_url
urn:voices:place:allach-germany,Allach Germany,geonames,https://sws.geonames.org/2958474/,https://www.geonames.org/2958474
urn:voices:place:andresy-france,Andresy France,geonames,https://sws.geonames.org/8296688/,https://www.geonames.org/8296688
urn:voices:place:arad-romania,Arad Romania,geonames,https://sws.geonames.org/686254/,https://www.geonames.org/686254
urn:voices:place:asch-germany-generic,Asch Germany Generic,geonames,https://sws.geonames.org/2955287/,https://www.geonames.org/2955287
urn:voices:place:aspen-colorado-usa,Aspen Colorado Usa,geonames,https://sws.geonames.org/5412230/,https://www.geonames.org/5412230
urn:voices:place:axvall-sweden,Axvall Sweden,geonames,https://sws.geonames.org/2724134/,https://www.geonames.org/2724134
urn:voices:place:bagnoli-italy-dp-camp,Bagnoli Italy Dp Camp,geonames,https://sws.geonames.org/3182518/,https://www.geonames.org/3182518
urn:voices:place:baiersdorf-bavaria-germany-generic,Baiersdorf Bavaria Germany Generic,geonames,https://sws.geonames.org/2953194/,https://www.geonames.org/2953194
urn:voices:place:baltic-sea,Baltic Sea,geonames,https://sws.geonames.org/2633321/,https://www.geonames.org/2633321
urn:voices:place:barletta-italy,Barletta Italy,geonames,https://sws.geonames.org/3182340/,https://www.geonames.org/3182340
urn:voices:place:batavia-illinois-usa,Batavia Illinois Usa,geonames,https://sws.geonames.org/4884192/,https://www.geonames.org/4884192
urn:voices:place:be-er-sheva-israel,Be Er Sheva Israel,geonames,https://sws.geonames.org/12046836/,https://www.geonames.org/12046836
urn:voices:place:bensheim-germany,Bensheim Germany,geonames,https://sws.geonames.org/2950978/,https://www.geonames.org/2950978
urn:voices:place:berga-elster-germany-concentration-camp,Berga Elster Germany Concentration Camp,geonames,https://sws.geonames.org/7602425/,https://www.geonames.org/7602425
urn:voices:place:black-forest-mountain-range,Black Forest Mountain Range,geonames,https://sws.geonames.org/5457850/,https://www.geonames.org/5457850
urn:voices:place:boleslawiec-poland,Boleslawiec Poland,geonames,https://sws.geonames.org/3102987/,https://www.geonames.org/3102987
urn:voices:place:bontebok-netherlands,Bontebok Netherlands,geonames,https://sws.geonames.org/2758651/,https://www.geonames.org/2758651
urn:voices:place:brownsville-usa-generic,Brownsville Usa Generic,geonames,https://sws.geonames.org/4676740/,https://www.geonames.org/4676740
urn:voices:place:buchenwald-germany-concentration-camp,Buchenwald Germany Concentration Camp,geonames,https://sws.geonames.org/13511401/,https://www.geonames.org/13511401
urn:voices:place:burgas-bulgaria-district,Burgas Bulgaria District,geonames,https://sws.geonames.org/727261/,https://www.geonames.org/727261
urn:voices:place:caen-calvados-france,Caen Calvados France,geonames,https://sws.geonames.org/3029241/,https://www.geonames.org/3029241
urn:voices:place:calvados-france-department,Calvados France Department,geonames,https://sws.geonames.org/3028537/,https://www.geonames.org/3028537
urn:voices:place:casablanca-morocco,Casablanca Morocco,geonames,https://sws.geonames.org/2553604/,https://www.geonames.org/2553604
urn:voices:place:chabannes-creuse-france,Chabannes Creuse France,geonames,https://sws.geonames.org/3027715/,https://www.geonames.org/3027715
urn:voices:place:cieszyn-slask-poland,Cieszyn Slask Poland,geonames,https://sws.geonames.org/3101321/,https://www.geonames.org/3101321
urn:voices:place:college-park-maryland-usa,College Park Maryland Usa,geonames,https://sws.geonames.org/4351977/,https://www.geonames.org/4351977
urn:voices:place:colombo-sri-lanka,Colombo Sri Lanka,geonames,https://sws.geonames.org/1248991/,https://www.geonames.org/1248991
urn:voices:place:colorado-usa-state,Colorado Usa State,geonames,https://sws.geonames.org/5424092/,https://www.geonames.org/5424092
urn:voices:place:comlausa-romania,Comlausa Romania,geonames,https://sws.geonames.org/680995/,https://www.geonames.org/680995
urn:voices:place:crete-nebraska-usa-generic,Crete Nebraska Usa Generic,geonames,https://sws.geonames.org/5066435/,https://www.geonames.org/5066435
urn:voices:place:cuba,Cuba,geonames,https://sws.geonames.org/3553478/,https://www.geonames.org/3553478
urn:voices:place:czarny-dunajec-poland,Czarny Dunajec Poland,geonames,https://sws.geonames.org/3101114/,https://www.geonames.org/3101114
urn:voices:place:czech-republic,Czech Republic,geonames,https://sws.geonames.org/3077311/,https://www.geonames.org/3077311
urn:voices:place:denver-colorado-usa,Denver Colorado Usa,geonames,https://sws.geonames.org/5419384/,https://www.geonames.org/5419384
urn:voices:place:dieren-netherlands,Dieren Netherlands,geonames,https://sws.geonames.org/2756865/,https://www.geonames.org/2756865
urn:voices:place:dinxperlo-netherlands,Dinxperlo Netherlands,geonames,https://sws.geonames.org/2756793/,https://www.geonames.org/2756793
urn:voices:place:dominican-republic,Dominican Republic,geonames,https://sws.geonames.org/3509382/,https://www.geonames.org/3509382
urn:voices:place:dorohusk-poland,Dorohusk Poland,geonames,https://sws.geonames.org/773014/,https://www.geonames.org/773014
urn:voices:place:duisburg-germany,Duisburg Germany,geonames,https://sws.geonames.org/2934691/,https://www.geonames.org/2934691
urn:voices:place:eberbach-baden-germany,Eberbach Baden Germany,geonames,https://sws.geonames.org/2934020/,https://www.geonames.org/2934020
urn:voices:place:eisern-germany,Eisern Germany,geonames,https://sws.geonames.org/2931441/,https://www.geonames.org/2931441
urn:voices:place:elkhart-indiana-usa,Elkhart Indiana Usa,geonames,https://sws.geonames.org/4919987/,https://www.geonames.org/4919987
urn:voices:place:ellwood-city-pennsylvania-usa,Ellwood City Pennsylvania Usa,geonames,https://sws.geonames.org/5188609/,https://www.geonames.org/5188609
urn:voices:place:elmhurst-usa-generic,Elmhurst Usa Generic,geonames,https://sws.geonames.org/4891010/,https://www.geonames.org/4891010
urn:voices:place:engelberg-switzerland,Engelberg Switzerland,geonames,https://sws.geonames.org/2660902/,https://www.geonames.org/2660902
urn:voices:place:england-uk-administrative-unit,England Uk Administrative Unit,geonames,https://sws.geonames.org/2643743/,https://www.geonames.org/2643743
urn:voices:place:erding-germany,Erding Germany,geonames,https://sws.geonames.org/2929715/,https://www.geonames.org/2929715
urn:voices:place:falaise-calvados-france,Falaise Calvados France,geonames,https://sws.geonames.org/3019113/,https://www.geonames.org/3019113
urn:voices:place:furth-germany-generic,Furth Germany Generic,geonames,https://sws.geonames.org/2923529/,https://www.geonames.org/2923529
urn:voices:place:garden-city-new-york-usa,Garden City New York Usa,geonames,https://sws.geonames.org/5118226/,https://www.geonames.org/5118226
urn:voices:place:goldbach-germany-generic,Goldbach Germany Generic,geonames,https://sws.geonames.org/2919438/,https://www.geonames.org/2919438
urn:voices:place:guelph-ontario-canada,Guelph Ontario Canada,geonames,https://sws.geonames.org/5967629/,https://www.geonames.org/5967629
urn:voices:place:gyula-hungary,Gyula Hungary,geonames,https://sws.geonames.org/720334/,https://www.geonames.org/720334
urn:voices:place:hamburg-germany,Hamburg Germany,geonames,https://sws.geonames.org/2911285/,https://www.geonames.org/2911285
urn:voices:place:harz-mountains,Harz Mountains,geonames,https://sws.geonames.org/2909965/,https://www.geonames.org/2909965
urn:voices:place:helmbrechts-upper-franconia-bavaria-germany,Helmbrechts Upper Franconia Bavaria Germany,geonames,https://sws.geonames.org/2906744/,https://www.geonames.org/2906744
urn:voices:place:hillcrest-usa-generic,Hillcrest Usa Generic,geonames,https://sws.geonames.org/4895936/,https://www.geonames.org/4895936
urn:voices:place:hiroshima-japan,Hiroshima Japan,geonames,https://sws.geonames.org/1862415/,https://www.geonames.org/1862415
urn:voices:place:hohenfels-bavaria-germany,Hohenfels Bavaria Germany,geonames,https://sws.geonames.org/2901774/,https://www.geonames.org/2901774
urn:voices:place:hoof-germany-generic,Hoof Germany Generic,geonames,https://sws.geonames.org/2899295/,https://www.geonames.org/2899295
urn:voices:place:ilk-hungary,Ilk Hungary,geonames,https://sws.geonames.org/719788/,https://www.geonames.org/719788
urn:voices:place:indianapolis-indiana-usa,Indianapolis Indiana Usa,geonames,https://sws.geonames.org/4259418/,https://www.geonames.org/4259418
urn:voices:place:ithaca-usa-generic,Ithaca Usa Generic,geonames,https://sws.geonames.org/5122432/,https://www.geonames.org/5122432
urn:voices:place:iwonicz-poland-concentration-camp,Iwonicz Poland Concentration Camp,geonames,https://sws.geonames.org/770760/,https://www.geonames.org/770760
urn:voices:place:johannesburg-south-africa,Johannesburg South Africa,geonames,https://sws.geonames.org/993800/,https://www.geonames.org/993800
urn:voices:place:jouy-en-josas-france,Jouy En Josas France,geonames,https://sws.geonames.org/3012165/,https://www.geonames.org/3012165
